family,setting,AsyncSAM+RMS,AsyncSGD,AsyncSGD+RMS,FedAsync,FedBuff,FADAS,CA2FL,AsyncSGD constant
MNIST,Base IID,98.2,89.2800,97.19,89.27000000000001,91.25000000000001,97.12,85.99,94.72999999999999
MNIST,Label-Sorted,93.45,,82.9,74.16000000000001,88.25,95.92,84.2,92.34
MNIST,Dirichlet,96.79,,87.71000000000001,79.72,88.97,96.3,86.77,93.16
MNIST,High Delay,98.16999999999999,,95.16999999999999,89.64,92.09,97.03,87.51,93.92999999999999
MNIST,20 Workers,97.61000000000001,,96.62,81.47,87.19,95.33,77.68,93.28
CIFAR-10 ResNet18,Base IID,92.266,89.82000000000002,,89.909,88.086,85.07900000000001,60.884,89.988
CIFAR-10 ResNet18,Label-Sorted,92.17500000000001,89.026,,89.203,87.249,85.15299999999999,61.251999999999995,89.237
CIFAR-10 ResNet18,High Delay,92.312,89.881,,89.877,88.183,85.56,59.364000000000004,89.80499999999999
CIFAR-10 ResNet18,20 Workers T3/E200,83.755,75.547,,75.567,73.262,76.879,73.53,85.074
CIFAR-10 ResNet32,Base IID,89.718,87.12800000000001,,86.89,84.817,83.67399999999999,56.58,87.134
CIFAR-10 ResNet32,Label-Sorted,89.832,86.793,,86.65799999999999,83.248,83.229,58.056,86.802
CIFAR-10 ResNet32,Dirichlet,89.50099999999999,86.539,,86.513,83.724,82.972,54.737,86.506
CIFAR-10 ResNet32,High Delay,89.823,87.10999999999999,,87.016,84.10400000000001,83.084,58.338,87.097
CIFAR-10 ResNet56,Base IID,90.638,87.834,,87.95500000000001,84.845,82.57,56.183,87.715
CIFAR-10 ResNet56,Label-Sorted,90.549,87.362,,87.46400000000001,84.843,82.72,58.412,87.571
CIFAR-10 ResNet56,Dirichlet,90.137,87.297,,87.20000000000002,84.59799999999998,82.09,57.052,87.364
CIFAR-10 ResNet56,High Delay,90.487,87.915,,87.96,85.083,82.793,56.475,87.859
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,74.735,74.03999999999999,,74.08900000000001,68.61999999999999,63.094,57.204,73.941
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,74.638,74.292,,74.39099999999999,68.35599999999998,62.652,57.113,74.475
CIFAR-100 ResNet18 300e RA+RE+LS,Dirichlet,74.96799999999999,74.224,,74.281,68.475,63.054,57.158,74.19800000000001
CIFAR-100 ResNet18 300e RA+RE+LS,High Delay,74.813,74.08399999999999,,74.152,68.163,63.143,56.669,74.051
CIFAR-100 ResNeXt29-8x16d 200e,Base IID,76.738,71.113,,74.71900000000001,70.86800000000001,66.08500000000001,34.085,71.313
CIFAR-100 ResNeXt29-8x16d 200e,Label-Sorted,76.749,70.929,,74.72999999999999,70.49600000000001,66.524,34.565,70.907
CIFAR-100 ResNeXt29-8x16d 200e,Dirichlet,76.849,70.91,,74.53900000000002,71.20500000000001,66.003,34.373,71.046
CIFAR-100 ResNeXt29-8x16d 200e,High Delay,76.61000000000001,71.299,,74.716,70.84899999999999,66.158,34.117,71.265
